train_lr_0.2_n_100_d_3_s_2_leaf_1,444.47,444.94,450.32,442.74,448.08,446.11
val_lr_0.2_n_100_d_3_s_2_leaf_1,467.37,471.67,448.98,476.96,456.09,464.21
train_lr_0.2_n_100_d_3_s_2_leaf_2,446.14,445.05,450.33,442.8,448.58,446.58
val_lr_0.2_n_100_d_3_s_2_leaf_2,464.11,472.34,448.46,476.99,456.38,463.66
train_lr_0.2_n_100_d_3_s_2_leaf_4,446.86,446.02,451.37,443.23,447.9,447.08
val_lr_0.2_n_100_d_3_s_2_leaf_4,465.25,471.52,448.1,477.1,457.5,463.89
train_lr_0.2_n_100_d_3_s_4_leaf_1,444.79,444.68,449.95,442.52,447.71,445.93
val_lr_0.2_n_100_d_3_s_4_leaf_1,467.58,472.86,447.54,475.88,456.7,464.11
train_lr_0.2_n_100_d_3_s_4_leaf_2,446.14,445.05,450.33,442.8,448.58,446.58
val_lr_0.2_n_100_d_3_s_4_leaf_2,464.11,472.34,448.46,476.99,456.38,463.66
train_lr_0.2_n_100_d_3_s_4_leaf_4,446.86,446.02,451.37,443.23,447.9,447.08
val_lr_0.2_n_100_d_3_s_4_leaf_4,465.25,471.52,448.1,477.1,457.5,463.89
train_lr_0.2_n_100_d_4_s_2_leaf_1,424.74,424.83,430.45,421.38,426.62,425.6
val_lr_0.2_n_100_d_4_s_2_leaf_1,470.12,472.87,448.47,475.4,459.19,465.21
train_lr_0.2_n_100_d_4_s_2_leaf_2,427.51,426.51,431.31,422.63,427.42,427.08
val_lr_0.2_n_100_d_4_s_2_leaf_2,465.84,470.53,448.46,477.63,456.45,463.78
train_lr_0.2_n_100_d_4_s_2_leaf_4,430.0,426.96,431.53,424.33,429.53,428.47
val_lr_0.2_n_100_d_4_s_2_leaf_4,464.66,472.31,445.96,476.02,457.36,463.26
train_lr_0.2_n_100_d_4_s_4_leaf_1,423.94,425.26,430.74,422.14,425.6,425.54
val_lr_0.2_n_100_d_4_s_4_leaf_1,467.76,469.76,447.22,476.18,459.61,464.11
train_lr_0.2_n_100_d_4_s_4_leaf_2,427.51,426.51,431.31,422.63,427.42,427.08
val_lr_0.2_n_100_d_4_s_4_leaf_2,465.84,470.53,448.46,477.63,456.45,463.78
train_lr_0.2_n_100_d_4_s_4_leaf_4,430.0,426.96,431.53,424.33,429.53,428.47
val_lr_0.2_n_100_d_4_s_4_leaf_4,464.66,472.31,445.96,476.02,457.36,463.26
train_lr_0.2_n_100_d_5_s_2_leaf_1,400.39,398.27,402.11,396.29,403.42,400.1
val_lr_0.2_n_100_d_5_s_2_leaf_1,467.31,474.83,450.15,481.81,458.96,466.61
train_lr_0.2_n_100_d_5_s_2_leaf_2,400.0,403.01,408.44,399.0,404.64,403.02
val_lr_0.2_n_100_d_5_s_2_leaf_2,464.98,475.93,448.62,477.91,461.22,465.73
train_lr_0.2_n_100_d_5_s_2_leaf_4,405.34,405.09,410.03,403.17,410.24,406.77
val_lr_0.2_n_100_d_5_s_2_leaf_4,466.27,473.28,447.35,481.25,461.91,466.01
train_lr_0.2_n_100_d_5_s_4_leaf_1,400.06,399.92,406.01,396.49,402.15,400.93
val_lr_0.2_n_100_d_5_s_4_leaf_1,467.82,475.55,448.75,481.52,457.34,466.2
train_lr_0.2_n_100_d_5_s_4_leaf_2,400.0,403.01,408.44,399.0,404.64,403.02
val_lr_0.2_n_100_d_5_s_4_leaf_2,464.98,475.93,448.62,477.91,461.22,465.73
train_lr_0.2_n_100_d_5_s_4_leaf_4,405.34,405.09,410.03,403.17,410.24,406.77
val_lr_0.2_n_100_d_5_s_4_leaf_4,466.27,473.28,447.35,481.25,461.91,466.01
train_lr_0.2_n_200_d_3_s_2_leaf_1,431.01,430.68,435.93,429.88,434.37,432.37
val_lr_0.2_n_200_d_3_s_2_leaf_1,464.97,471.3,447.07,476.32,456.78,463.29
train_lr_0.2_n_200_d_3_s_2_leaf_2,432.65,431.25,436.89,430.06,434.41,433.05
val_lr_0.2_n_200_d_3_s_2_leaf_2,463.92,472.06,448.61,477.26,456.89,463.75
train_lr_0.2_n_200_d_3_s_2_leaf_4,433.95,433.01,437.23,431.07,435.39,434.13
val_lr_0.2_n_200_d_3_s_2_leaf_4,463.04,471.3,446.7,476.5,457.18,462.94
train_lr_0.2_n_200_d_3_s_4_leaf_1,430.79,430.01,436.15,428.8,434.66,432.08
val_lr_0.2_n_200_d_3_s_4_leaf_1,464.97,471.29,446.75,475.28,457.52,463.16
train_lr_0.2_n_200_d_3_s_4_leaf_2,432.65,431.25,436.89,430.06,434.41,433.05
val_lr_0.2_n_200_d_3_s_4_leaf_2,463.92,472.06,448.61,477.26,456.89,463.75
train_lr_0.2_n_200_d_3_s_4_leaf_4,433.95,433.01,437.23,431.07,435.39,434.13
val_lr_0.2_n_200_d_3_s_4_leaf_4,463.04,471.3,446.7,476.5,457.18,462.94
train_lr_0.2_n_200_d_4_s_2_leaf_1,400.52,400.09,405.65,399.35,403.5,401.82
val_lr_0.2_n_200_d_4_s_2_leaf_1,473.36,475.76,449.68,478.69,463.69,468.24
train_lr_0.2_n_200_d_4_s_2_leaf_2,403.13,401.73,405.99,399.2,403.78,402.77
val_lr_0.2_n_200_d_4_s_2_leaf_2,467.46,474.74,452.64,480.36,460.05,467.05
train_lr_0.2_n_200_d_4_s_2_leaf_4,405.47,404.91,409.15,402.78,406.93,405.85
val_lr_0.2_n_200_d_4_s_2_leaf_4,467.56,475.55,450.21,478.31,458.31,465.99
train_lr_0.2_n_200_d_4_s_4_leaf_1,400.54,401.18,405.54,399.21,403.89,402.07
val_lr_0.2_n_200_d_4_s_4_leaf_1,471.61,473.94,448.77,479.01,461.51,466.97
train_lr_0.2_n_200_d_4_s_4_leaf_2,403.13,401.73,405.99,399.2,403.78,402.77
val_lr_0.2_n_200_d_4_s_4_leaf_2,467.46,474.74,452.64,480.36,460.05,467.05
train_lr_0.2_n_200_d_4_s_4_leaf_4,405.47,404.91,409.15,402.78,406.93,405.85
val_lr_0.2_n_200_d_4_s_4_leaf_4,467.56,475.55,450.21,478.31,458.31,465.99
train_lr_0.2_n_200_d_5_s_2_leaf_1,363.56,363.55,366.93,361.43,367.32,364.56
val_lr_0.2_n_200_d_5_s_2_leaf_1,473.77,480.2,458.62,490.15,464.99,473.55
train_lr_0.2_n_200_d_5_s_2_leaf_2,365.92,367.21,371.82,365.03,368.77,367.75
val_lr_0.2_n_200_d_5_s_2_leaf_2,472.73,483.96,457.2,485.7,467.32,473.38
train_lr_0.2_n_200_d_5_s_2_leaf_4,370.92,372.44,374.54,372.16,376.08,373.23
val_lr_0.2_n_200_d_5_s_2_leaf_4,472.87,481.29,455.98,489.01,467.95,473.42
train_lr_0.2_n_200_d_5_s_4_leaf_1,364.23,364.88,367.8,364.83,367.59,365.87
val_lr_0.2_n_200_d_5_s_4_leaf_1,475.5,483.55,456.34,489.47,462.86,473.54
train_lr_0.2_n_200_d_5_s_4_leaf_2,365.92,367.21,371.82,365.03,368.77,367.75
